age,height,sex,ethnic,errors,fev1_predicted,fev1_lln,fev1_uln,fev1_z,fev1_pp,fvc_predicted,fvc_lln,fvc_uln,fvc_z,fvc_pp,fev1fvc_predicted,fev1fvc_lln,fev1fvc_uln,fev1fvc_z,fev1fvc_pp,fef2575_predicted,fef2575_lln,fef2575_uln,fef2575_z,fef2575_pp,fef75_predicted,fef75_lln,fef75_uln,fef75_z,fef75_pp,fev075_predicted,fev075_lln,fev075_uln,fev075_z,fev075_pp,fev075fvc_predicted,fev075fvc_lln,fev075fvc_uln,fev075fvc_z,fev075fvc_pp,tlco_predicted,tlco_lln,tlco_uln,tlco_z,tlco_pp,dlco_predicted,dlco_lln,dlco_uln,dlco_z,dlco_pp,kcosi_predicted,kcotr_predicted,kcosi_lln,kcosi_uln,kcotr_lln,kcotr_uln,kcosi_z,kcosi_pp,kcotr_z,kcotr_pp,va_predicted,va_lln,va_uln,va_z,va_pp,frc_predicted,frc_lln,frc_uln,frc_z,frc_pp,tlc_predicted,tlc_lln,tlc_uln,tlc_z,tlc_pp,rv_predicted,rv_lln,rv_uln,rv_z,rv_pp,rvtlc_predicted,rvtlc_lln,rvtlc_uln,rvtlc_z,rvtlc_pp,erv_predicted,erv_lln,erv_uln,erv_z,erv_pp,ic_predicted,ic_lln,ic_uln,ic_z,ic_pp,vc_predicted,vc_lln,vc_uln,vc_z,vc_pp,frc_mbw_predicted,frc_mbw_lln,frc_mbw_uln,frc_mbw_z,frc_mbw_pp,lci_predicted,lci_lln,lci_uln,lci_z,lci_pp
34,187,M,0,,4.675,3.615,5.683,0,0,5.763,4.468,7.077,0,0,0.816,0.713,0.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.969,9.407,14.913,0,0,35.751,28.099,44.545,0,0,1.598,4.772,1.271,1.948,3.795,5.819,0,0,0,0,7.536,6.177,8.994,0,0,3.79,2.577,5.328,0,0,8.031,6.47,9.613,0,0,1.742,0.876,2.834,0,0,21.475,11.962,31.614,0,0,2.011,0.959,3.397,0,0,4.306,3.094,5.469,0,0,6.306,5.06,7.586,0,0,4.26,3.038,5.621,0,0,6.192,5.499,7.013,0,0
34,187,F,0,,4.146,3.17,5.074,0,0,5.077,3.906,6.276,0,0,0.825,0.719,0.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.193,7.312,11.42,0,0,27.461,21.842,34.113,0,0,1.387,4.142,1.096,1.712,3.274,5.115,0,0,0,0,6.603,5.469,7.84,0,0,3.741,2.639,5.134,0,0,7.101,5.802,8.541,0,0,1.698,0.91,2.783,0,0,23.169,13.488,33.737,0,0,1.927,0.985,3.154,0,0,3.449,2.401,4.506,0,0,5.367,4.303,6.424,0,0,4.077,2.907,5.379,0,0,6.192,5.499,7.013,0,0
34,188,M,0,,4.737,3.663,5.758,0,0,5.847,4.534,7.181,0,0,0.815,0.712,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.098,9.509,15.074,0,0,36.138,28.403,45.027,0,0,1.594,4.762,1.268,1.944,3.787,5.807,0,0,0,0,7.634,6.258,9.111,0,0,3.846,2.616,5.407,0,0,8.131,6.55,9.732,0,0,1.765,0.888,2.872,0,0,21.473,11.961,31.611,0,0,2.049,0.977,3.46,0,0,4.356,3.13,5.533,0,0,6.384,5.123,7.68,0,0,4.344,3.099,5.73,0,0,6.192,5.499,7.013,0,0
34,188,F,0,,4.199,3.211,5.139,0,0,5.149,3.961,6.365,0,0,0.824,0.718,0.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.273,7.376,11.519,0,0,27.699,22.032,34.408,0,0,1.382,4.128,1.092,1.706,3.263,5.097,0,0,0,0,6.681,5.533,7.932,0,0,3.793,2.676,5.206,0,0,7.185,5.871,8.643,0,0,1.722,0.922,2.822,0,0,23.168,13.488,33.736,0,0,1.956,1.001,3.203,0,0,3.486,2.427,4.555,0,0,5.428,4.352,6.496,0,0,4.157,2.966,5.483,0,0,6.192,5.499,7.013,0,0
34,189,M,0,,4.799,3.711,5.834,0,0,5.932,4.6,7.285,0,0,0.814,0.712,0.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.229,9.611,15.237,0,0,36.527,28.709,45.512,0,0,1.591,4.751,1.265,1.94,3.778,5.794,0,0,0,0,7.733,6.339,9.229,0,0,3.903,2.654,5.487,0,0,8.232,6.631,9.853,0,0,1.788,0.9,2.91,0,0,21.471,11.96,31.608,0,0,2.087,0.995,3.525,0,0,4.407,3.167,5.598,0,0,6.462,5.186,7.775,0,0,4.43,3.163,5.841,0,0,6.192,5.499,7.013,0,0
34,189,F,0,,4.252,3.252,5.204,0,0,5.221,4.017,6.454,0,0,0.823,0.717,0.906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.353,7.439,11.619,0,0,27.938,22.222,34.705,0,0,1.377,4.114,1.089,1.701,3.252,5.08,0,0,0,0,6.758,5.597,8.024,0,0,3.846,2.714,5.279,0,0,7.271,5.941,8.745,0,0,1.746,0.935,2.861,0,0,23.167,13.487,33.735,0,0,1.986,1.016,3.252,0,0,3.524,2.454,4.604,0,0,5.489,4.401,6.57,0,0,4.239,3.027,5.589,0,0,6.192,5.499,7.013,0,0
34,190,M,0,,4.862,3.76,5.91,0,0,6.018,4.666,7.391,0,0,0.813,0.711,0.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36,9.714,15.4,0,0,36.918,29.017,45.999,0,0,1.587,4.741,1.262,1.935,3.77,5.781,0,0,0,0,7.833,6.421,9.348,0,0,3.96,2.693,5.568,0,0,8.333,6.713,9.974,0,0,1.812,0.912,2.948,0,0,21.469,11.959,31.605,0,0,2.125,1.014,3.59,0,0,4.458,3.204,5.663,0,0,6.542,5.249,7.87,0,0,4.518,3.227,5.954,0,0,6.192,5.499,7.013,0,0
34,190,F,0,,4.306,3.293,5.27,0,0,5.293,4.073,6.544,0,0,0.822,0.717,0.905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.433,7.503,11.718,0,0,28.177,22.412,35.003,0,0,1.373,4.1,1.085,1.695,3.241,5.063,0,0,0,0,6.837,5.662,8.117,0,0,3.899,2.751,5.352,0,0,7.357,6.011,8.849,0,0,1.77,0.948,2.9,0,0,23.166,13.487,33.733,0,0,2.017,1.032,3.302,0,0,3.562,2.48,4.654,0,0,5.551,4.45,6.644,0,0,4.323,3.088,5.698,0,0,6.192,5.499,7.013,0,0
34,191,M,0,,4.926,3.808,5.987,0,0,6.105,4.734,7.497,0,0,0.812,0.71,0.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.491,9.818,15.564,0,0,37.312,29.326,46.489,0,0,1.584,4.73,1.259,1.931,3.762,5.769,0,0,0,0,7.934,6.503,9.469,0,0,4.018,2.733,5.649,0,0,8.435,6.795,10.096,0,0,1.836,0.924,2.987,0,0,21.467,11.958,31.603,0,0,2.165,1.032,3.656,0,0,4.51,3.241,5.728,0,0,6.621,5.313,7.966,0,0,4.607,3.293,6.069,0,0,6.192,5.499,7.013,0,0
34,191,F,0,,4.36,3.334,5.337,0,0,5.367,4.129,6.634,0,0,0.821,0.716,0.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.514,7.567,11.818,0,0,28.418,22.603,35.302,0,0,1.368,4.086,1.081,1.689,3.23,5.045,0,0,0,0,6.915,5.727,8.211,0,0,3.953,2.789,5.425,0,0,7.443,6.082,8.953,0,0,1.794,0.961,2.941,0,0,23.165,13.486,33.732,0,0,2.047,1.047,3.352,0,0,3.6,2.507,4.704,0,0,5.613,4.5,6.718,0,0,4.408,3.151,5.808,0,0,6.192,5.499,7.013,0,0
